joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.440874,0.641431,1.45499,1.33277,-0.0874197,0.464365,0.00974805
0.440874,0.641431,1.45499,1.33277,-0.0874197,0.464365,0.00974805
0.441878,0.641578,1.45424,1.33234,-0.0876487,0.464186,0.00990948
0.442874,0.641725,1.4535,1.3319,-0.0878763,0.464009,0.0100699
0.443861,0.641871,1.45277,1.33148,-0.0881022,0.463834,0.010229
0.444841,0.642016,1.45204,1.33105,-0.0883264,0.463662,0.010387
0.445285,0.642082,1.45171,1.33086,-0.0884283,0.463583,0.0104587
0.445285,0.642082,1.45171,1.33086,-0.0884283,0.463583,0.0104587
0.44626,0.642227,1.45099,1.33043,-0.0886516,0.463412,0.0106159
0.447228,0.642372,1.45027,1.33001,-0.0888736,0.463242,0.0107722
0.448187,0.642516,1.44955,1.32959,-0.0890937,0.463075,0.0109271
0.449138,0.64266,1.44885,1.32917,-0.0893123,0.462909,0.0110808
0.44945,0.642707,1.44862,1.32903,-0.0893841,0.462854,0.0111313
0.44945,0.642707,1.44862,1.32903,-0.0893841,0.462854,0.0111313
0.450397,0.64285,1.44791,1.32862,-0.0896019,0.46269,0.0112844
0.451337,0.642993,1.44721,1.32821,-0.0898183,0.462527,0.0114366
0.452268,0.643135,1.44652,1.3278,-0.0900328,0.462366,0.0115873
0.453192,0.643277,1.44584,1.32739,-0.0902459,0.462207,0.0117369
0.453383,0.643306,1.4457,1.3273,-0.0902898,0.462174,0.0117678
0.453383,0.643306,1.4457,1.3273,-0.0902898,0.462174,0.0117678
0.454303,0.643447,1.44501,1.3269,-0.0905022,0.462016,0.0119169
0.455216,0.643588,1.44434,1.32649,-0.0907131,0.461859,0.012065
0.45612,0.643728,1.44367,1.32609,-0.0909221,0.461705,0.0122116
0.457017,0.643868,1.443,1.32569,-0.0911297,0.461552,0.0123573
0.457095,0.64388,1.44294,1.32566,-0.0911478,0.461539,0.01237
0.457095,0.64388,1.44294,1.32566,-0.0911478,0.461539,0.01237
0.457989,0.644019,1.44228,1.32526,-0.0913548,0.461386,0.0125152
0.458876,0.644158,1.44162,1.32487,-0.0915603,0.461236,0.0126593
0.459754,0.644296,1.44097,1.32447,-0.0917639,0.461088,0.0128019
0.460601,0.644429,1.44034,1.3241,-0.0919605,0.460945,0.0129397
0.460601,0.644429,1.44034,1.3241,-0.0919605,0.460945,0.0129397
0.46147,0.644566,1.4397,1.32371,-0.0921622,0.460798,0.013081
0.462331,0.644703,1.43906,1.32332,-0.0923623,0.460654,0.0132212
0.463184,0.644838,1.43843,1.32294,-0.0925606,0.460511,0.01336
0.463911,0.644954,1.43789,1.32261,-0.09273,0.46039,0.0134786
0.463911,0.644954,1.43789,1.32261,-0.09273,0.46039,0.0134786
